Down,Distance,Yardline,EPA
1,20,99,-1020.41
1,19,99,-1020.41
1,18,99,-1020.41
1,17,99,-1020.41
1,15,99,-1020.41
1,13,99,-1020.41
1,12,99,-1020.4
1,10,99,-1010.2
1,9,99,-1020.41
1,7,99,-1020.41
1,4,99,-1020.41
1,3,99,-1020.41
1,2,99,-1020.4
1,1,99,-1020.2
2,20,99,-1010.1
2,18,99,-1010.1
2,17,99,-1010.1
2,16,99,-1010.1
2,15,99,-1010.1
2,13,99,-1010.1
2,10,99,-1010.1
2,8,99,-1010.1
2,7,99,-1010.1
2,4,99,-1010.1
2,3,99,-1010.1
2,2,99,-1010.1
2,1,99,-1010.1
3,20,99,-1010.1
3,16,99,-1010.1
3,15,99,-1010.1
3,13,99,-1010.1
3,11,99,-1010.1
3,10,99,-1010.1
3,9,99,-1010.1
3,8,99,-1010.1
3,5,99,-1010.1
3,4,99,-1010.1
3,2,99,-1010
3,1,99,-1000.02
4,17,99,-2.55773
4,16,99,-2.59767
4,15,99,-2.51048
4,14,99,-2.52752
4,13,99,-2.23518
4,12,99,-2.55522
4,9,99,-2.32583
4,8,99,-2.68396
4,7,99,-2.43402
4,5,99,-2.64168
4,3,99,-2.64009
4,1,99,-12.6305
1,20,98,-1020.41
1,19,98,-1020.41
1,18,98,-1020.41
1,17,98,-1020.41
1,15,98,-1020.41
1,13,98,-1020.41
1,12,98,-1020.4
1,10,98,-1010.2
1,9,98,-1020.41
1,7,98,-1020.41
1,4,98,-1020.41
1,3,98,-1020.41
1,2,98,-1020.4
1,1,98,-1020.2
2,20,98,-1010.1
2,18,98,-1010.1
2,17,98,-1010.1
2,16,98,-1010.1
2,15,98,-1010.1
2,13,98,-1010.1
2,10,98,-1010.1
2,7,98,-1010.1
2,4,98,-1010.1
2,3,98,-1010.1
2,2,98,-1010.1
2,1,98,-1010.1
3,20,98,-1010.1
3,16,98,-1010.1
3,15,98,-1010.1
3,13,98,-1010.1
3,11,98,-1010.1
3,10,98,-1010.1
3,9,98,-1010.1
3,8,98,-1010.1
3,5,98,-1010.1
3,4,98,-1010.1
3,2,98,-1010
3,1,98,-1000.02
4,17,98,-2.29841
4,16,98,-2.37777
4,15,98,-2.15275
4,14,98,-2.47649
4,13,98,-2.38897
4,12,98,-2.20258
4,9,98,-2.29068
4,8,98,-2.1882
4,7,98,-2.45214
4,5,98,-2.28299
4,3,98,-2.37365
4,1,98,-12.4947
1,20,97,-1020.41
1,19,97,-1020.41
1,18,97,-1020.41
1,17,97,-1020.41
1,15,97,-1020.41
1,13,97,-1020.41
1,12,97,-1020.4
1,7,97,-1020.41
1,4,97,-1020.41
1,3,97,-1020.41
1,2,97,-1020.4
1,10,97,-1010.2
1,1,97,-1020.2
2,20,97,-1010.1
2,18,97,-1010.1
2,17,97,-1010.1
2,16,97,-1010.1
2,15,97,-1010.1
2,13,97,-1010.1
2,12,97,-1010.1
2,10,97,-1010.1
2,6,99,-1010.1
1,14,97,-1020.41
2,8,97,-1010.1
2,7,97,-1010.1
1,14,99,-1020.41
2,6,97,-1010.1
2,4,97,-1010.1
2,3,97,-1010.1
2,2,97,-1010.1
2,1,97,-1010.1
3,20,97,-1010.1
3,16,97,-1010.1
3,15,97,-1010.1
3,13,97,-1010.1
3,11,97,-1010.1
3,10,97,-1010.1
3,9,97,-1010.1
3,8,97,-1010.1
3,5,97,-1010.1
3,4,97,-1010.1
3,2,97,-1010
3,1,97,-1000.02
4,17,97,-2.36992
4,16,97,-2.37361
4,15,97,-2.30964
4,13,97,-2.31963
4,12,97,-2.36265
4,9,97,-2.38995
4,8,97,-2.36539
4,7,97,-2.32282
4,5,97,-2.35829
4,1,97,-12.5331
1,20,96,-1020.41
1,19,96,-1020.41
1,18,96,-1020.41
1,17,96,-1020.41
1,15,96,-1020.41
2,8,98,-1010.1
2,6,98,-1010.1
1,14,96,-1020.41
1,13,96,-1020.41
1,12,96,-1020.4
1,9,96,-1020.41
1,7,96,-1020.41
1,4,96,-1020.41
1,3,96,-1020.41
1,2,96,-1020.4
1,10,96,-1010.2
1,1,96,-1020.2
2,20,96,-1010.1
2,18,96,-1010.1
2,17,96,-1010.1
2,16,96,-1010.1
2,15,96,-1010.1
2,13,96,-1010.1
2,12,96,-1010.1
2,10,96,-1010.1
2,7,96,-1010.1
1,14,98,-1020.41
2,8,96,-1010.1
2,6,96,-1010.1
2,4,96,-1010.1
2,3,96,-1010.1
2,2,96,-1010.1
2,1,96,-1010.1
3,20,96,-1010.1
3,16,96,-1010.1
3,13,96,-1010.1
3,11,96,-1010.1
